<TICKER>,<SECTOR>,<INDUSTRY>
ST.US,Technology,Scientific & Technical Instruments
USAU.US,Basic Materials,Gold
CFMS.US,Healthcare,Medical Devices
AIT.US,Industrials,Industrial Distribution
KMPR.US,Financial Services,Insurance—Property & Casualty
RKLB.US,Industrials,Aerospace & Defense
VYNE.US,Healthcare,Biotechnology
NM.US,Industrials,Marine Shipping
SNPO.US,Technology,Electronics & Computer Distribution
AYI.US,Industrials,Electrical Equipment & Parts
FANG.US,Energy,Oil & Gas E&P
VMW.US,Technology,Software—Infrastructure
AL.US,Industrials,Rental & Leasing Services
RAIN.US,Healthcare,Biotechnology
SHOO.US,Consumer Cyclical,Footwear & Accessories
CYH.US,Healthcare,Medical Care Facilities
WK.US,Technology,Software—Application
IBP.US,Consumer Cyclical,Residential Construction
SCI.US,Consumer Cyclical,Personal Services
AEYE.US,Technology,Software—Application
ATCO_H.US,NA,NA
RCM.US,Healthcare,Health Information Services
GPRO.US,Technology,Consumer Electronics
BANF.US,Financial Services,Banks—Regional
SMID.US,Basic Materials,Building Materials
WAB.US,Industrials,Railroads
VMAR.US,Consumer Cyclical,Recreational Vehicles
NOVN.US,Healthcare,Biotechnology
CGNT.US,Technology,Software—Infrastructure
KC.US,Technology,Software—Application
NRXP.US,Healthcare,Biotechnology
HE.US,Utilities,Utilities—Regulated Electric
CSBR.US,Healthcare,Biotechnology
OUST.US,Technology,Electronic Components
LEDS.US,Technology,Semiconductors
ASB_E.US,NA,NA
AGMH.US,Technology,Computer Hardware
ALX.US,Real Estate,REIT—Retail
ZI.US,Technology,Software—Application
SDIG.US,Financial Services,Capital Markets
FIGS.US,Consumer Cyclical,Apparel Manufacturing
HSTM.US,Healthcare,Health Information Services
JPT.US,NA,NA
CYRX.US,Industrials,Integrated Freight & Logistics
ATOS.US,Healthcare,Biotechnology
ITRI.US,Technology,Scientific & Technical Instruments
GS_D.US,NA,NA
KSPN.US,Technology,Software—Application
IART.US,Healthcare,Medical Devices
GGLL.US,NA,NA
PDD.US,Consumer Cyclical,Internet Retail
ARL.US,Real Estate,Real Estate—Development
PYPT.US,NA,NA
USFD.US,Consumer Defensive,Food Distribution
AYX.US,Technology,Software—Application
MRM.US,Consumer Cyclical,Personal Services
WVE.US,Healthcare,Biotechnology
OI.US,Consumer Cyclical,Packaging & Containers
AMD.US,Technology,Semiconductors
NGMS.US,Consumer Cyclical,Gambling
CD.US,Technology,Information Technology Services
PMT_B.US,NA,NA
SMCI.US,Technology,Computer Hardware
BEEMW.US,NA,NA
DFIN.US,Financial Services,Capital Markets
XYF.US,Financial Services,Credit Services
SOFI.US,Financial Services,Credit Services
VLTA.US,Consumer Cyclical,Specialty Retail
HGV.US,Consumer Cyclical,Resorts & Casinos
OXY.US,Energy,Oil & Gas E&P
QS.US,Consumer Cyclical,Auto Parts
ICD.US,Energy,Oil & Gas Drilling
VFF.US,Consumer Defensive,Farm Products
SAH.US,Consumer Cyclical,Auto & Truck Dealerships
