<TICKER>,<SECTOR>,<INDUSTRY>
EDRY.US,Industrials,Marine Shipping
VTEX.US,Technology,Software—Application
QNST.US,Communication Services,Advertising Agencies
BDTX.US,Healthcare,Biotechnology
ATHE.US,Healthcare,Biotechnology
COOP.US,Financial Services,Mortgage Finance
BAOS.US,Communication Services,Advertising Agencies
UVE.US,Financial Services,Insurance—Property & Casualty
WERN.US,Industrials,Trucking
NRIM.US,Financial Services,Banks—Regional
TGLS.US,Basic Materials,Building Materials
SMPL.US,Consumer Defensive,Packaged Foods
EBON.US,Technology,Computer Hardware
BKR.US,Energy,Oil & Gas Equipment & Services
GENI.US,Communication Services,Internet Content & Information
EGHT.US,Technology,Software—Application
PBA.US,Energy,Oil & Gas Midstream
ACI.US,Consumer Defensive,Grocery Stores
TCI.US,Real Estate,Real Estate Services
GOCO.US,Financial Services,Insurance Brokers
ARTNA.US,Utilities,Utilities—Regulated Water
FRPT.US,Consumer Defensive,Packaged Foods
KEX.US,Industrials,Marine Shipping
CDZIP.US,Utilities,Utilities—Regulated Water
SNSE.US,Healthcare,Biotechnology
CLDX.US,Healthcare,Biotechnology
SDC.US,Healthcare,Medical Instruments & Supplies
SWKS.US,Technology,Semiconductors
GPI.US,Consumer Cyclical,Auto & Truck Dealerships
MSFT.US,Technology,Software—Infrastructure
HSBC.US,Financial Services,Banks—Diversified
FTS.US,Utilities,Utilities—Regulated Electric
AKTX.US,Healthcare,Biotechnology
FLT.US,Technology,Software—Infrastructure
BTO.US,Financial Services,Asset Management
RGNX.US,Healthcare,Biotechnology
OC.US,Industrials,Building Products & Equipment
INBS.US,Healthcare,Diagnostics & Research
NM_G.US,NA,NA
BGXX.US,Healthcare,Drug Manufacturers—Specialty & Generic
BEN.US,Financial Services,Asset Management
BKYI.US,Industrials,Security & Protection Services
BTWN.US,Financial Services,Shell Companies
SJR.US,Services,CATV Systems
BRID.US,Consumer Defensive,Packaged Foods
RFP.US,Basic Materials,Paper & Paper Products
DLTR.US,Consumer Defensive,Discount Stores
AMTI.US,Healthcare,Biotechnology
UPH.US,Healthcare,Health Information Services
ALL_I.US,NA,NA
DNOW.US,Energy,Oil & Gas Equipment & Services
FITBP.US,Financial Services,Banks—Regional
HRB.US,Consumer Cyclical,Personal Services
ICLR.US,Healthcare,Diagnostics & Research
PRIF_F.US,NA,NA
UAA.US,Consumer Cyclical,Apparel Manufacturing
BR.US,Technology,Information Technology Services
AWR.US,Utilities,Utilities—Regulated Water
FFIC.US,Financial Services,Banks—Regional
REPL.US,Healthcare,Biotechnology
CTS.US,Technology,Electronic Components
X.US,Basic Materials,Steel
TDY.US,Technology,Scientific & Technical Instruments
KRC.US,Real Estate,REIT—Office
BDC.US,Technology,Communication Equipment
MFA_C.US,NA,NA
KELYB.US,Industrials,Staffing & Employment Services
RY.US,Financial Services,Banks—Diversified
NFE.US,Utilities,Utilities—Regulated Gas
BITI.US,NA,NA
PSN.US,Technology,Information Technology Services
APPF.US,Technology,Software—Application
GLP_A.US,NA,NA
PMVP.US,Healthcare,Biotechnology
WLYB.US,Communication Services,Publishing
YPF.US,Energy,Oil & Gas Integrated
VNOM.US,Energy,Oil & Gas Midstream
SANA.US,Healthcare,Biotechnology
BANR.US,Financial Services,Banks—Regional
GNRC.US,Industrials,Specialty Industrial Machinery
MRUS.US,Healthcare,Biotechnology
PEPG.US,Healthcare,Biotechnology
ALLY.US,Financial Services,Credit Services
ASMB.US,Healthcare,Biotechnology
CNA.US,Financial Services,Insurance—Property & Casualty
FARM.US,Consumer Defensive,Packaged Foods
KEY_L.US,NA,NA
SPWH.US,Consumer Cyclical,Specialty Retail
SRV.US,Financial Services,Asset Management
UNTY.US,Financial Services,Banks—Regional
ERJ.US,Industrials,Aerospace & Defense
VTOL.US,Energy,Oil & Gas Equipment & Services
ZEV.US,Industrials,Farm & Heavy Construction Machinery
ALSN.US,Consumer Cyclical,Auto Parts
RCB.US,NA,NA
OMI.US,Healthcare,Medical Distribution
OTRKP.US,Healthcare,Health Information Services
UTZ.US,Consumer Defensive,Packaged Foods
HMN.US,Financial Services,Insurance—Property & Casualty
LCUT.US,Consumer Cyclical,Furnishings Fixtures & Appliances
RCI.US,Communication Services,Telecom Services
WY.US,Real Estate,REIT—Specialty
BKE.US,Consumer Cyclical,Apparel Retail
GLT.US,Basic Materials,Paper & Paper Products
BSET.US,Consumer Cyclical,Furnishings Fixtures & Appliances
IDXX.US,Healthcare,Diagnostics & Research
NGM.US,Healthcare,Biotechnology
RILYO.US,NA,NA
ITIC.US,Financial Services,Insurance—Specialty
TSLL.US,NA,NA
GPOR.US,Energy,Oil & Gas E&P
MNSO.US,Consumer Cyclical,Specialty Retail
CNSP.US,Healthcare,Biotechnology
MGNX.US,Healthcare,Biotechnology
SKX.US,Consumer Cyclical,Footwear & Accessories
QD.US,Financial Services,Credit Services
VTR.US,Real Estate,REIT—Healthcare Facilities
SE.US,Consumer Cyclical,Internet Retail
GLP.US,Energy,Oil & Gas Midstream
CYTK.US,Healthcare,Biotechnology
ATHA.US,Healthcare,Biotechnology
BPRN.US,Financial Services,Banks—Regional
ACER.US,Healthcare,Biotechnology
CWT.US,Utilities,Utilities—Regulated Water
XRX.US,Technology,Information Technology Services
NMRD.US,Healthcare,Medical Devices
MTH.US,Consumer Cyclical,Residential Construction
RS.US,Basic Materials,Steel
ADAG.US,Healthcare,Biotechnology
KINS.US,Financial Services,Insurance—Property & Casualty
LGIH.US,Consumer Cyclical,Residential Construction
ENBA.US,NA,NA
ALE.US,Utilities,Utilities—Diversified
ANDE.US,Consumer Defensive,Food Distribution
LI.US,Consumer Cyclical,Auto Manufacturers
AFL.US,Financial Services,Insurance—Life
EGBN.US,Financial Services,Banks—Regional
LIVN.US,Healthcare,Medical Devices
MQ.US,Technology,Software—Infrastructure
EEIQ.US,Consumer Defensive,Education & Training Services
SBCF.US,Financial Services,Banks—Regional
DLNG_B.US,NA,NA
SKIN.US,Consumer Defensive,Household & Personal Products
VISL.US,Technology,Communication Equipment
CL.US,Consumer Defensive,Household & Personal Products
CGC.US,Healthcare,Drug Manufacturers—Specialty & Generic
GOODN.US,Real Estate,REIT—Diversified
AVNT.US,Basic Materials,Specialty Chemicals
SBLK.US,Industrials,Marine Shipping
BRO.US,Financial Services,Insurance Brokers
SJIJ.US,NA,NA
AMLX.US,Healthcare,Biotechnology
SAL.US,Financial Services,Banks—Regional
ATCO_I.US,NA,NA
XYL.US,Industrials,Specialty Industrial Machinery
DMRC.US,Technology,Information Technology Services
SB_D.US,NA,NA
WCC.US,Industrials,Industrial Distribution
AVA.US,Utilities,Utilities—Diversified
LNN.US,Industrials,Farm & Heavy Construction Machinery
AVTX.US,Healthcare,Biotechnology
DCFC.US,Industrials,Electrical Equipment & Parts
CRMD.US,Healthcare,Biotechnology
PCOR.US,Technology,Software—Application
BHFAL.US,NA,NA
CM.US,Financial Services,Banks—Diversified
AEL_A.US,NA,NA
CCI.US,Real Estate,REIT—Specialty
OUT.US,Real Estate,REIT—Specialty
GOGO.US,Communication Services,Telecom Services
ATAI.US,Healthcare,Biotechnology
TALO.US,Energy,Oil & Gas E&P
RLX.US,Consumer Defensive,Tobacco
EAT.US,Consumer Cyclical,Restaurants
FORG.US,Technology,Software—Infrastructure
LANC.US,Consumer Defensive,Packaged Foods
HMST.US,Financial Services,Banks—Regional
JWN.US,Consumer Cyclical,Department Stores
CSSE.US,Communication Services,Entertainment
SIEN.US,Healthcare,Medical Devices
STEP.US,Financial Services,Asset Management
ASAN.US,Technology,Software—Application
VLO.US,Energy,Oil & Gas Refining & Marketing
MS_L.US,NA,NA
CANO.US,Healthcare,Medical Care Facilities
BELFA.US,Technology,Electronic Components
INTZ.US,Technology,Software—Infrastructure
STGW.US,Communication Services,Advertising Agencies
PFE.US,Healthcare,Drug Manufacturers—General
JJSF.US,Consumer Defensive,Packaged Foods
NEE_P.US,NA,NA
RSLS.US,Healthcare,Medical Devices
IVVD.US,Healthcare,Biotechnology
TCBP.US,Healthcare,Biotechnology
CCCC.US,Healthcare,Biotechnology
GMRE_A.US,NA,NA
AP.US,Industrials,Metal Fabrication
CFLT.US,Technology,Software—Infrastructure
SAVE.US,Industrials,Airlines
PARA.US,Communication Services,Entertainment
DE.US,Industrials,Farm & Heavy Construction Machinery
DOMH.US,Healthcare,Biotechnology
VLYPP.US,Financial Services,Banks—Regional
SYNA.US,Technology,Semiconductors
VCEL.US,Healthcare,Biotechnology
FBMS.US,Financial Services,Banks—Regional
MDVL.US,Healthcare,Pharmaceutical Retailers
RICK.US,Consumer Cyclical,Restaurants
STLA.US,Consumer Cyclical,Auto Manufacturers
ACHL.US,Healthcare,Biotechnology
AZO.US,Consumer Cyclical,Specialty Retail
FCN.US,Industrials,Consulting Services
FIXX.US,Healthcare,Biotechnology
RBLX.US,Communication Services,Electronic Gaming & Multimedia
TRV.US,Financial Services,Insurance—Property & Casualty
NYC.US,Real Estate,Real Estate Services
DICE.US,Healthcare,Biotechnology
SOHON.US,Real Estate,REIT—Hotel & Motel
TDUP.US,Consumer Cyclical,Internet Retail
FCFS.US,Financial Services,Credit Services
STIM.US,Healthcare,Diagnostics & Research
USM.US,Communication Services,Telecom Services
BBW.US,Consumer Cyclical,Specialty Retail
CIVI.US,Energy,Oil & Gas E&P
SEDG.US,Technology,Solar
SSB.US,Financial Services,Banks—Regional
HNNA.US,Financial Services,Asset Management
MBI.US,Financial Services,Insurance—Specialty
IOSP.US,Basic Materials,Specialty Chemicals
PRU.US,Financial Services,Insurance—Life
ZG.US,Communication Services,Internet Content & Information
CWAN.US,Technology,Software—Application
KRON.US,Healthcare,Biotechnology
APVO.US,Healthcare,Biotechnology
AXL.US,Consumer Cyclical,Auto Parts
EC.US,Energy,Oil & Gas Integrated
MPLX.US,Energy,Oil & Gas Midstream
SKLZ.US,Communication Services,Electronic Gaming & Multimedia
TITN.US,Industrials,Industrial Distribution
SITM.US,Technology,Semiconductors
ITGR.US,Healthcare,Medical Devices
AMKR.US,Technology,Semiconductors
BP.US,Energy,Oil & Gas Integrated
ZEPP.US,Technology,Consumer Electronics
GLPG.US,Healthcare,Biotechnology
IONM.US,Healthcare,Medical Care Facilities
MCS.US,Communication Services,Entertainment
GNFT.US,Healthcare,Biotechnology
CFFI.US,Financial Services,Banks—Regional
EXFY.US,Technology,Software—Application
OXLCM.US,Financial Services,Asset Management
SKYT.US,Technology,Semiconductors
THS.US,Consumer Defensive,Packaged Foods
CPHC.US,Consumer Cyclical,Gambling
ALNY.US,Healthcare,Biotechnology
GABC.US,Financial Services,Banks—Regional
JBL.US,Technology,Electronic Components
NEU.US,Basic Materials,Specialty Chemicals
NEPT.US,Healthcare,Drug Manufacturers—Specialty & Generic
HOOD.US,Technology,Software—Infrastructure
OGE.US,Utilities,Utilities—Regulated Electric
GJR.US,NA,NA
PAHC.US,Healthcare,Drug Manufacturers—Specialty & Generic
AGNCN.US,Real Estate,REIT—Mortgage
ZIM.US,Industrials,Marine Shipping
ANAB.US,Healthcare,Biotechnology
PCT.US,Industrials,Pollution & Treatment Controls
TRTN_D.US,NA,NA
SYK.US,Healthcare,Medical Devices
CIVB.US,Financial Services,Banks—Regional
FITB.US,Financial Services,Banks—Regional
MAA.US,Real Estate,REIT—Residential
RANI.US,Healthcare,Biotechnology
ITCI.US,Healthcare,Drug Manufacturers—Specialty & Generic
CJJD.US,Healthcare,Pharmaceutical Retailers
HCAT.US,Healthcare,Health Information Services
SWK.US,Industrials,Tools & Accessories
REVB.US,Healthcare,Biotechnology
BC_C.US,NA,NA
KEQU.US,Consumer Cyclical,Furnishings Fixtures & Appliances
YOU.US,Technology,Software—Application
ATEC.US,Healthcare,Medical Devices
RAMP.US,Technology,Software—Infrastructure
AMGN.US,Healthcare,Drug Manufacturers—General
HRTX.US,Healthcare,Biotechnology
HRTG.US,Financial Services,Insurance—Property & Casualty
HSIC.US,Healthcare,Medical Distribution
KELYA.US,Industrials,Staffing & Employment Services
HRMY.US,Healthcare,Biotechnology
CRT.US,Energy,Oil & Gas E&P
NTAP.US,Technology,Computer Hardware
GLBE.US,Consumer Cyclical,Internet Retail
NVT.US,Industrials,Electrical Equipment & Parts
RDN.US,Financial Services,Insurance—Specialty
PRME.US,Healthcare,Biotechnology
GEF-B.US,Consumer Cyclical,Packaging & Containers
ENS.US,Industrials,Electrical Equipment & Parts
JBHT.US,Industrials,Integrated Freight & Logistics
EPAM.US,Technology,Information Technology Services
ECL.US,Basic Materials,Specialty Chemicals
ORGO.US,Healthcare,Drug Manufacturers—Specialty & Generic
XELA.US,Technology,Software—Application
AUR.US,Technology,Information Technology Services
WST.US,Healthcare,Medical Instruments & Supplies
OGS.US,Utilities,Utilities—Regulated Gas
ACGL.US,Financial Services,Insurance—Diversified
BF-B.US,NA,NA
PAAS.US,Basic Materials,Gold
PSTX.US,Healthcare,Biotechnology
BH-A.US,Consumer Cyclical,Restaurants
KODK.US,Industrials,Specialty Business Services
ESGR.US,Financial Services,Insurance—Diversified
CLB.US,Energy,Oil & Gas Equipment & Services
CLFD.US,Technology,Communication Equipment
RL.US,Consumer Cyclical,Apparel Manufacturing
STBA.US,Financial Services,Banks—Regional
APRN.US,Consumer Cyclical,Internet Retail
CRMT.US,Consumer Cyclical,Auto & Truck Dealerships
BIMI.US,Healthcare,Pharmaceutical Retailers
AIRG.US,Technology,Communication Equipment
LQDA.US,Healthcare,Biotechnology
TMCI.US,Healthcare,Medical Devices
BCEL.US,Healthcare,Biotechnology
RNR.US,Financial Services,Insurance—Reinsurance
ASML.US,Technology,Semiconductor Equipment & Materials
CSL.US,Industrials,Building Products & Equipment
FRSH.US,Technology,Software—Application
LSTR.US,Industrials,Integrated Freight & Logistics
PPC.US,Consumer Defensive,Packaged Foods
OP.US,Industrials,Marine Shipping
CEG.US,Utilities,Utilities—Renewable
ZIONL.US,NA,NA
REUN.US,Healthcare,Biotechnology
IRWD.US,Healthcare,Drug Manufacturers—Specialty & Generic
STE.US,Healthcare,Medical Devices
TNYA.US,Healthcare,Biotechnology
INBK.US,Financial Services,Banks—Regional
TPR.US,Consumer Cyclical,Luxury Goods
ROST.US,Consumer Cyclical,Apparel Retail
CVX.US,Energy,Oil & Gas Integrated
AIRS.US,Healthcare,Medical Care Facilities
NOG.US,Energy,Oil & Gas E&P
PYPD.US,Healthcare,Biotechnology
IMTE.US,Technology,Electronic Components
ROKU.US,Communication Services,Entertainment
AL_A.US,NA,NA
BW.US,Industrials,Specialty Industrial Machinery
CTR.US,Financial Services,Asset Management
HRL.US,Consumer Defensive,Packaged Foods
KALA.US,Healthcare,Drug Manufacturers—Specialty & Generic
MXCT.US,Healthcare,Medical Devices
AAL.US,Industrials,Airlines
NKLA.US,Industrials,Farm & Heavy Construction Machinery
QCOM.US,Technology,Semiconductors
SHAK.US,Consumer Cyclical,Restaurants
XPRO.US,Energy,Oil & Gas Equipment & Services
META.US,Communication Services,Internet Content & Information
APTX.US,Healthcare,Biotechnology
QLYS.US,Technology,Software—Infrastructure
IMGN.US,Healthcare,Biotechnology
NYCB_A.US,NA,NA
RELX.US,Industrials,Specialty Business Services
VOYA_B.US,NA,NA
BLKB.US,Technology,Software—Application
CAMP.US,Technology,Communication Equipment
MTSI.US,Technology,Semiconductors
CUTR.US,Healthcare,Medical Devices
MOG-A.US,NA,NA
TUEMQ.US,Consumer Defensive,Discount Stores
EPR_E.US,NA,NA
MTD.US,Healthcare,Diagnostics & Research
SCS.US,Industrials,Business Equipment & Supplies
ASRT.US,Healthcare,Drug Manufacturers—Specialty & Generic
VINC.US,Healthcare,Biotechnology
PLL.US,Basic Materials,Other Industrial Metals & Mining
PLSE.US,Healthcare,Medical Instruments & Supplies
ETD.US,Consumer Cyclical,Furnishings Fixtures & Appliances
ASPS.US,Real Estate,Real Estate Services
SU.US,Energy,Oil & Gas Integrated
UVSP.US,Financial Services,Banks—Regional
VTLE.US,Energy,Oil & Gas E&P
YELL.US,Industrials,Trucking
ARVL.US,Consumer Cyclical,Auto Manufacturers
ALR.US,Healthcare,Medical Care Facilities
GOGL.US,Industrials,Marine Shipping
PD.US,Technology,Software—Application
SAM.US,Consumer Defensive,Beverages—Brewers
TROW.US,Financial Services,Asset Management
MGIC.US,Technology,Information Technology Services
MLCO.US,Consumer Cyclical,Resorts & Casinos
EH.US,Industrials,Aerospace & Defense
BRKR.US,Healthcare,Medical Devices
ALKT.US,Technology,Software—Application
AVIR.US,Healthcare,Biotechnology
JCSE.US,Industrials,Specialty Industrial Machinery
SOXQ.US,NA,NA
VERY.US,Financial Services,Insurance—Life
YRD.US,Financial Services,Credit Services
JOE.US,Real Estate,Real Estate—Diversified
TTOO.US,Healthcare,Diagnostics & Research
TSAT.US,Technology,Communication Equipment
BE.US,Industrials,Electrical Equipment & Parts
APRE.US,Healthcare,Biotechnology
AEE.US,Utilities,Utilities—Regulated Electric
GTHX.US,Healthcare,Biotechnology
THO.US,Consumer Cyclical,Recreational Vehicles
JXN.US,Financial Services,Insurance—Life
MHUA.US,Healthcare,Medical Instruments & Supplies
TARS.US,Healthcare,Biotechnology
WEAV.US,Technology,Software—Application
ZION.US,Financial Services,Banks—Regional
EFX.US,Industrials,Consulting Services
WMC.US,Real Estate,REIT—Mortgage
ISRG.US,Healthcare,Medical Instruments & Supplies
ZTS.US,Healthcare,Drug Manufacturers—Specialty & Generic
DBTX.US,Healthcare,Biotechnology
GFAI.US,Industrials,Security & Protection Services
HIVE.US,Financial Services,Capital Markets
LYT.US,Technology,Software—Application
WOR.US,Industrials,Metal Fabrication
UA.US,Consumer Cyclical,Apparel Manufacturing
ABST.US,Technology,Software—Application
BY.US,Financial Services,Banks—Regional
JNCE.US,Healthcare,Biotechnology
SLG.US,Real Estate,REIT—Office
VBLT.US,Healthcare,Biotechnology
SBR.US,Energy,Oil & Gas E&P
ENTG.US,Technology,Semiconductor Equipment & Materials
GE.US,Industrials,Specialty Industrial Machinery
FSBW.US,Financial Services,Banks—Regional
HTH.US,Financial Services,Banks—Regional
TNL.US,Consumer Cyclical,Travel Services
IX.US,Financial Services,Credit Services
CSR.US,Real Estate,REIT—Residential
LKFN.US,Financial Services,Banks—Regional
IBM.US,Technology,Information Technology Services
SIVB.US,Financial Services,Banks—Regional
SNTG.US,Financial Services,Credit Services
GRNQ.US,Industrials,Consulting Services
LARK.US,Financial Services,Banks—Regional
SI.US,Financial Services,Banks—Regional
COKE.US,Consumer Defensive,Beverages—Non-Alcoholic
KNSL.US,Financial Services,Insurance—Property & Casualty
MGTX.US,Healthcare,Biotechnology
YSG.US,Consumer Defensive,Household & Personal Products
ALLG.US,Consumer Cyclical,Auto Parts
UCBI.US,Financial Services,Banks—Regional
FTFT.US,Technology,Software—Application
CAMT.US,Technology,Semiconductor Equipment & Materials
HHS.US,Communication Services,Advertising Agencies
IIVI.US,Technology,Scientific & Technical Instruments
AU.US,Basic Materials,Gold
ZIVO.US,Healthcare,Biotechnology
HSTO.US,Healthcare,Biotechnology
PAYX.US,Industrials,Staffing & Employment Services
APEI.US,Consumer Defensive,Education & Training Services
CERT.US,Healthcare,Health Information Services
ESS.US,Real Estate,REIT—Residential
NVFY.US,Consumer Cyclical,Furnishings Fixtures & Appliances
SPG_J.US,NA,NA
NUZE.US,Consumer Defensive,Packaged Foods
HUBS.US,Technology,Software—Application
OXSQL.US,NA,NA
CMA.US,Financial Services,Banks—Regional
PBT.US,Energy,Oil & Gas Midstream
SSTK.US,Communication Services,Internet Content & Information
MVIS.US,Technology,Scientific & Technical Instruments
ATRC.US,Healthcare,Medical Instruments & Supplies
FDMT.US,Healthcare,Biotechnology
OKTA.US,Technology,Software—Infrastructure
PRGS.US,Technology,Software—Application
SECO.US,Consumer Cyclical,Internet Retail
XAIR.US,Healthcare,Medical Devices
ATRI.US,Healthcare,Medical Instruments & Supplies
CPSI.US,Healthcare,Health Information Services
ALRN.US,Healthcare,Biotechnology
TAL.US,Consumer Defensive,Education & Training Services
EMR.US,Industrials,Specialty Industrial Machinery
NS_B.US,NA,NA
HOV.US,Consumer Cyclical,Residential Construction
UEIC.US,Technology,Consumer Electronics
HOPE.US,Financial Services,Banks—Regional
VSTO.US,Consumer Cyclical,Leisure
FC.US,Industrials,Consulting Services
BAND.US,Technology,Software—Infrastructure
MET_E.US,NA,NA
AN.US,Consumer Cyclical,Auto & Truck Dealerships
NVGS.US,Energy,Oil & Gas Midstream
DAWN.US,Healthcare,Biotechnology
FRO.US,Energy,Oil & Gas Midstream
RFL.US,Real Estate,Real Estate Services
BOX.US,Technology,Software—Infrastructure
RLMD.US,Healthcare,Biotechnology
IMRX.US,Healthcare,Biotechnology
SPR.US,Industrials,Aerospace & Defense
USLM.US,Basic Materials,Building Materials
XWEL.US,Consumer Cyclical,Personal Services
STC.US,Financial Services,Insurance—Property & Casualty
ESQ.US,Financial Services,Banks—Regional
AEMD.US,Healthcare,Medical Devices
DH.US,Healthcare,Health Information Services
BBBY.US,Consumer Cyclical,Specialty Retail
AQST.US,Healthcare,Drug Manufacturers—Specialty & Generic
PCG.US,Utilities,Utilities—Regulated Electric
AGO.US,Financial Services,Insurance—Specialty
ETR.US,Utilities,Utilities—Regulated Electric
VC.US,Consumer Cyclical,Auto Parts
GS.US,Financial Services,Capital Markets
MNST.US,Consumer Defensive,Beverages—Non-Alcoholic
RE.US,Financial Services,Insurance—Reinsurance
FAZE.US,Communication Services,Internet Content & Information
SGLY.US,Industrials,Integrated Freight & Logistics
PAVM.US,Healthcare,Medical Devices
UFCS.US,Financial Services,Insurance—Property & Casualty
WWE.US,Communication Services,Entertainment
BANFP.US,NA,NA
RUN.US,Technology,Solar
ACLS.US,Technology,Semiconductor Equipment & Materials
HR.US,Real Estate,REIT—Healthcare Facilities
HUN.US,Basic Materials,Chemicals
TXT.US,Industrials,Aerospace & Defense
NNI.US,Financial Services,Credit Services
LE.US,Consumer Cyclical,Specialty Retail
WTM.US,Financial Services,Insurance—Property & Casualty
DPZ.US,Consumer Cyclical,Restaurants
STER.US,Technology,Software—Infrastructure
API.US,Technology,Software—Application
ALK.US,Industrials,Airlines
CPRX.US,Healthcare,Biotechnology
BIDU.US,Communication Services,Internet Content & Information
NVEE.US,Industrials,Engineering & Construction
PNBK.US,Financial Services,Banks—Regional
WIRE.US,Industrials,Electrical Equipment & Parts
MYE.US,Consumer Cyclical,Packaging & Containers
OPTN.US,Healthcare,Drug Manufacturers—Specialty & Generic
MHNC.US,NA,NA
RXRX.US,Healthcare,Biotechnology
TOWN.US,Financial Services,Banks—Regional
SYF_A.US,NA,NA
BRQS.US,Technology,Software—Application
NWL.US,Consumer Defensive,Household & Personal Products
JSM.US,NA,NA
AEZS.US,Healthcare,Biotechnology
PEP.US,Consumer Defensive,Beverages—Non-Alcoholic
SFBS.US,Financial Services,Banks—Regional
FARO.US,Technology,Scientific & Technical Instruments
SRL.US,Financial Services,Capital Markets
TERN.US,Healthcare,Biotechnology
AUDC.US,Technology,Communication Equipment
FTDR.US,Consumer Cyclical,Personal Services
KTOS.US,Industrials,Aerospace & Defense
VGAS.US,Utilities,Utilities—Renewable
SGFY.US,Healthcare,Health Information Services
KRTX.US,Healthcare,Biotechnology
NJR.US,Utilities,Utilities—Regulated Gas
NKSH.US,Financial Services,Banks—Regional
SMG.US,Basic Materials,Agricultural Inputs
QLGN.US,Healthcare,Biotechnology
COLB.US,Financial Services,Banks—Regional
RRGB.US,Consumer Cyclical,Restaurants
CBZ.US,Industrials,Specialty Business Services
DDOG.US,Technology,Software—Application
HII.US,Industrials,Aerospace & Defense
XEL.US,Utilities,Utilities—Regulated Electric
CNXN.US,Technology,Electronics & Computer Distribution
MRNA.US,Healthcare,Biotechnology
TTP.US,Financial Services,Asset Management
WFG.US,Basic Materials,Lumber & Wood Production
ALCO.US,Consumer Defensive,Farm Products
CETX.US,Technology,Software—Infrastructure
COF_J.US,NA,NA
CZOO.US,Consumer Cyclical,Auto & Truck Dealerships
HCKT.US,Technology,Information Technology Services
DK.US,Energy,Oil & Gas Refining & Marketing
BWMN.US,Industrials,Engineering & Construction
KSS.US,Consumer Cyclical,Department Stores
HY.US,Industrials,Farm & Heavy Construction Machinery
TCX.US,Technology,Software—Infrastructure
ROK.US,Industrials,Specialty Industrial Machinery
VIA.US,Utilities,Utilities—Regulated Electric
VHI.US,Basic Materials,Chemicals
HFBL.US,Financial Services,Banks—Regional
LMT.US,Industrials,Aerospace & Defense
AGYS.US,Technology,Software—Application
ATTO.US,Industrials,Specialty Business Services
ONCR.US,Healthcare,Biotechnology
AGM_C.US,NA,NA
ALV.US,Consumer Cyclical,Auto Parts
STX.US,Technology,Computer Hardware
SLP.US,Healthcare,Health Information Services
AHL_E.US,NA,NA
CLX.US,Consumer Defensive,Household & Personal Products
KNSA.US,Healthcare,Biotechnology
TSN.US,Consumer Defensive,Farm Products
GS_J.US,NA,NA
MSC.US,Consumer Cyclical,Resorts & Casinos
SRG.US,Real Estate,REIT—Retail
OTEX.US,Technology,Software—Application
DISH.US,Communication Services,Telecom Services
EP_C.US,NA,NA
KOD.US,Healthcare,Biotechnology
HCC.US,Basic Materials,Coking Coal
LSPD.US,Technology,Software—Application
SDRL.US,Energy,Oil & Gas Drilling
BSRR.US,Financial Services,Banks—Regional
DLR.US,Real Estate,REIT—Specialty
KMT.US,Industrials,Tools & Accessories
XP.US,Financial Services,Capital Markets
SHIP.US,Industrials,Marine Shipping
MSFU.US,NA,NA
NAII.US,Consumer Defensive,Packaged Foods
ATRA.US,Healthcare,Biotechnology
GNLN.US,Consumer Defensive,Tobacco
GHL.US,Financial Services,Capital Markets
TEX.US,Industrials,Farm & Heavy Construction Machinery
MIGI.US,Financial Services,Capital Markets
HGEN.US,Healthcare,Biotechnology
MOV.US,Consumer Cyclical,Luxury Goods
FOLD.US,Healthcare,Biotechnology
KNTE.US,Healthcare,Biotechnology
AKBA.US,Healthcare,Biotechnology
ETSY.US,Consumer Cyclical,Internet Retail
AGFY.US,Industrials,Engineering & Construction
RDVT.US,Technology,Software—Application
ZNTL.US,Healthcare,Biotechnology
MRC.US,Energy,Oil & Gas Equipment & Services
NCNO.US,Technology,Software—Application
IMNN.US,Healthcare,Biotechnology
TENX.US,Healthcare,Biotechnology
VVX.US,Industrials,Aerospace & Defense
CYRNQ.US,Technology,Software—Infrastructure
TRP.US,Energy,Oil & Gas Midstream
VANI.US,Healthcare,Medical Devices
ZIP.US,Industrials,Staffing & Employment Services
CLOV.US,Healthcare,Healthcare Plans
KLIC.US,Technology,Semiconductor Equipment & Materials
CAH.US,Healthcare,Medical Distribution
ATVI.US,Communication Services,Electronic Gaming & Multimedia
WBS.US,Financial Services,Banks—Regional
GEL.US,Energy,Oil & Gas Midstream
SBET.US,Consumer Cyclical,Gambling
BNTC.US,Healthcare,Biotechnology
LSI.US,Real Estate,REIT—Industrial
RAIL.US,Industrials,Railroads
C_J.US,NA,NA
IRDM.US,Communication Services,Telecom Services
KAR.US,Consumer Cyclical,Auto & Truck Dealerships
MDU.US,Industrials,Conglomerates
AIG.US,Financial Services,Insurance—Diversified
EVER.US,Communication Services,Internet Content & Information
ORRF.US,Financial Services,Banks—Regional
NRDS.US,Financial Services,Credit Services
CTRM.US,Industrials,Marine Shipping
SM.US,Energy,Oil & Gas E&P
AVNW.US,Technology,Communication Equipment
BBLN.US,Healthcare,Health Information Services
GNUS.US,Communication Services,Entertainment
POLA.US,Industrials,Electrical Equipment & Parts
HALO.US,Healthcare,Biotechnology
SRCE.US,Financial Services,Banks—Regional
HAYN.US,Industrials,Metal Fabrication
HIG_G.US,NA,NA
SHLS.US,Technology,Solar
SPKX.US,NA,NA
CNTA.US,Healthcare,Biotechnology
AKO-B.US,NA,NA
CARM.US,Healthcare,Biotechnology
WSFS.US,Financial Services,Banks—Regional
